date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:19	158606/158606	---MCZ	200	added ('OK')	text/html	etag:W/%22638b2078-26b8e%22	https://template.hasthemes.com/furns/furns/index-2.html	C:/laragon/khoa1/template.hasthemes.com/furns/furns/index-2.html	(from )
12:52:19	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2005:52:18%20GMT	https://template.hasthemes.com/robots.txt		(from )
12:52:19	447/447	---MC-	200	added ('OK')	image/png	date:Fri,%2008%20Mar%202024%2005:42:33%20GMT	https://template.hasthemes.com/furns/furns/assets/images/favicon/favicon.png	C:/laragon/khoa1/template.hasthemes.com/furns/furns/assets/images/favicon/favicon.png	(from https://template.hasthemes.com/furns/furns/index-2.html)
12:52:20	296380/296380	---MCZ	200	added ('OK')	text/css	etag:W/%22638b20ca-485bc%22	https://template.hasthemes.com/furns/furns/assets/css/vendor/vendor.min.css	C:/laragon/khoa1/template.hasthemes.com/furns/furns/assets/css/vendor/vendor.min.css	(from https://template.hasthemes.com/furns/furns/index-2.html)
12:52:20	177878/177878	---MCZ	200	added ('OK')	text/css	etag:W/%22638b20c1-2b6d6%22	https://template.hasthemes.com/furns/furns/assets/css/plugins/plugins.min.css	C:/laragon/khoa1/template.hasthemes.com/furns/furns/assets/css/plugins/plugins.min.css	(from https://template.hasthemes.com/furns/furns/index-2.html)
12:52:20	120006/120006	---MCZ	200	added ('OK')	text/css	etag:W/%22638b2099-1d4c6%22	https://template.hasthemes.com/furns/furns/assets/css/style.min.css	C:/laragon/khoa1/template.hasthemes.com/furns/furns/assets/css/style.min.css	(from https://template.hasthemes.com/furns/furns/index-2.html)
12:52:20	150005/150005	---MCZ	200	added ('OK')	text/html	etag:W/%22638b2076-249f5%22	https://template.hasthemes.com/furns/furns/index.html	C:/laragon/khoa1/template.hasthemes.com/furns/furns/index.html	(from https://template.hasthemes.com/furns/furns/index-2.html)
12:52:20	1773/1773	---MC-	200	added ('OK')	image/png	date:Fri,%2008%20Mar%202024%2005:43:01%20GMT	https://template.hasthemes.com/furns/furns/assets/images/logo/logo.png	C:/laragon/khoa1/template.hasthemes.com/furns/furns/assets/images/logo/logo.png	(from https://template.hasthemes.com/furns/furns/index-2.html)
12:52:21	54744/54744	---MCZ	200	added ('OK')	text/html	etag:W/%22638b2081-d5d8%22	https://template.hasthemes.com/furns/furns/my-account.html	C:/laragon/khoa1/template.hasthemes.com/furns/furns/my-account.html	(from https://template.hasthemes.com/furns/furns/index-2.html)
12:52:21	58842/58842	---MCZ	200	added ('OK')	text/html	etag:W/%22638b206f-e5da%22	https://template.hasthemes.com/furns/furns/checkout.html	C:/laragon/khoa1/template.hasthemes.com/furns/furns/checkout.html	(from https://template.hasthemes.com/furns/furns/index-2.html)
